player,TEAM,pa,pc,py,ints,tdp,ra,ry,tdr,trg,rec,recy,tdrec,fum,FF
J.Taylor,KC,0,0,0,0,0,44.7142857142857,210.714285714286,1.57142857142857,4.85714285714286,2.85714285714286,19.4285714285714,0.142857142857143,0,320.614285714286
T.Kelce,KC,0,0,0,0,0,0.315789473684211,0.315789473684211,0,47.6842105263158,34.7368421052632,315.157894736842,1.26315789473684,0,319.673684210526
C.Ridley,TEN,0,0,0,0,0,2.82352941176471,19.4117647058824,0.352941176470588,42.3529411764706,22.5882352941176,358.941176470588,1.41176470588235,0,309.070588235294
X.Worthy,KC,0,0,0,0,0,7.26315789473684,35.3684210526316,0.947368421052632,37.5789473684211,24.6315789473684,292.105263157895,2.84210526315789,0,302.178947368421
A.Brown,PHI,0,0,0,0,0,0,0,0,42.3529411764706,27.8823529411765,438.352941176471,3.17647058823529,0,298.270588235294
T.McLaurin,WAS,0,0,0,0,0,0.6,0.6,0,42,28.8,396.9,4.8,0,295.83
C.Akers,MIN,0,0,0,0,0,38.4705882352941,170.470588235294,0.705882352941176,6.35294117647059,4.94117647058824,24,1.05882352941176,0,288.564705882353
J.Ford,CHI,0,0,0,0,0,31.2,169.5,0.9,12.9,11.1,67.5,0,0,288.39
K.Shakir,BUF,0,0,0,0,0,0.666666666666667,1.33333333333333,0,40,31.3333333333333,331.666666666667,1.33333333333333,0,277.433333333333
J.Smith,MIA,0,0,0,0,0,0.705882352941176,-0.352941176470588,0,39.1764705882353,31.0588235294118,312,2.82352941176471,0,270.741176470588
Em.Wilson,GB,0,0,0,0,0,35.3333333333333,169.333333333333,1.33333333333333,5.66666666666667,4,23.6666666666667,0.333333333333333,0,265.466666666667
D.Smith,PHI,0,0,0,0,0,0.352941176470588,0.352941176470588,0,37.4117647058824,29.6470588235294,361.058823529412,3.17647058823529,0,263.047058823529
T.Hill,MIA,0.774193548387097,0.387096774193548,4.06451612903226,0,0,9.09677419354839,64.0645161290323,1.16129032258065,29.6129032258065,20.1290322580645,221.806451612903,1.16129032258065,0,261.077419354839
C.Sutton,DEN,0.521739130434783,0.521739130434783,7.82608695652174,0,0.260869565217391,0,0,0,37.5652173913044,22.4347826086957,301.565217391304,2.08695652173913,0,255.75652173913
J.Jefferson,MIN,0.214285714285714,0.214285714285714,4.71428571428571,0,0,1.5,5.35714285714286,0,34.9285714285714,23.3571428571429,343.071428571429,2.14285714285714,0,253.628571428571
D.Moore,CHI,0.17142857142857101,0,0,0,0,2.57142857142857,12.8571428571429,0,33.7714285714286,22.2857142857143,225.771428571429,1.54285714285714,0,242.074285714286
E.Moore,CLE,0,0,0,0,0,0.352941176470588,0.352941176470588,0,36,21.5294117647059,189.882352941176,0.352941176470588,0,237.176470588235
B.Allen,NYJ,9,5.1,59.7,0,0.3,28.5,101.4,0.6,8.1,5.7,44.4,0.3,0,234.27
Z.Ertz,WAS,0,0,0,0,0,0,0,0,34.8,25.2,242.7,2.4,0,233.31
J.Reed,GB,0,0,0,0,0,6,48.9,0.3,23.7,17.7,270.9,1.8,0,210.39
B.Nix,DEN,196.333333333333,129.666666666667,1306.33333333333,0,10,32,157.666666666667,1.33333333333333,0.333333333333333,0.333333333333333,0.666666666666667,0.333333333333333,0,210
K.Gainwell,PHI,0,0,0,0,0,25.1428571428571,94.8571428571429,0.285714285714286,7.14285714285714,5.42857142857143,40.5714285714286,0,0,207.285714285714
Ja.Williams,DET,0.3,0,0,0,0,15.6,69,0.9,15.3,10.2,134.1,0.9,0,205.89
D.Schultz,HOU,0,0,0,0,0,0,0,0,29.3684210526316,18.6315789473684,195.157894736842,0.631578947368421,0,195.78947368421
J.Williams,KC,0,0,0,0,0,15.9310344827586,61.8620689655172,0.413793103448276,13.1379310344828,9.10344827586207,102.413793103448,0.413793103448276,0,190.924137931034
M.Andrews,BAL,0,0,0,0,0,2.52631578947368,4.10526315789474,0,24.9473684210526,19.5789473684211,240.315789473684,3.47368421052632,0,189.631578947368
J.Tolbert,DAL,0,0,0,0,0,0,0,0,27.8823529411765,17.2941176470588,215.294117647059,2.47058823529412,0,189.070588235294
R.Bateman,BAL,0,0,0,0,0,0,0,0,26.3333333333333,17,282,3.66666666666667,0,186.566666666667
P.Freiermuth,PIT,0,0,0,0,0,0,0,0,27.3333333333333,22.6666666666667,222.666666666667,2.33333333333333,0,186.5
T.Kraft,GB,0,0,0,0,0,1.66666666666667,5.33333333333333,0,25,18.3333333333333,244.333333333333,2.33333333333333,0,185.2
Ty.Johnson,BUF,0,0,0,0,0,18.3,92.1,0.3,8.7,6.6,95.4,1.2,0,180.9
D.Wicks,GB,0,0,0,0,0,0,0,0,27.3333333333333,13.6666666666667,151.333333333333,1.66666666666667,0,179.3
J.Allen,BUF,116.896551724138,75.5172413793103,903.51724137931,0,6.62068965517241,27.1034482758621,131.586206896552,2.89655172413793,0,0,1.44827586206897,0.206896551724138,0,176.234482758621
P.Mahomes,KC,209.684210526316,141.157894736842,1454.84210526316,0,9.78947368421053,25.2631578947368,122.842105263158,1.26315789473684,0.315789473684211,0.315789473684211,0.631578947368421,0,0,165.947368421053
I.Likely,BAL,0,0,0,0,0,0,0,0,23.6470588235294,17.2941176470588,212.823529411765,2.47058823529412,0,163.411764705882
M.Mims,DEN,0,0,0,0,0,5,14.3333333333333,0,18.6666666666667,13.6666666666667,171.666666666667,2,0,160.8
O.Zaccheaus,WAS,0,0,0,0,0,0.315789473684211,2.52631578947368,0,23.3684210526316,16.4210526315789,174,0.947368421052632,0,159.852631578947
R.Davis,BUF,0,0,0,0,0,21.1764705882353,84.3529411764706,0.705882352941176,3.35294117647059,3,33.3529411764706,0.529411764705882,0,159.070588235294
T.Johnson,LA,0,0,0,0,0,0,0,0,22.9090909090909,15,169.636363636364,0.545454545454545,0,154.472727272727
J.McNichols,WAS,0,0,0,0,0,20,90,1.66666666666667,4,3,9,0,0,154.066666666667
S.Darnold,MIN,195,128.666666666667,1521.33333333333,0,12,23.6666666666667,77,0.333333333333333,0,0,0,0,0,149.733333333333
J.Hill,BAL,0,0,0,0,0,9.83333333333333,48.3333333333333,0.166666666666667,12.6666666666667,10,83.8333333333333,0.666666666666667,0,148.3
J.Herbert,LAC,178.666666666667,115.333333333333,1370.66666666667,0,8,23,102,0.666666666666667,0,0,0,0,0,148.266666666667
B.Mayfield,TB,196,140.666666666667,1561.66666666667,0,14.3333333333333,22.3333333333333,133.666666666667,1,0,0,0,0,0,147.466666666667
A.Iosivas,CIN,0,0,0,0,0,0,0,0,21.5294117647059,12.7058823529412,169.058823529412,2.11764705882353,0,146.294117647059
C.Williams,CHI,153.272727272727,95.7272727272727,965.727272727273,0,5.45454545454545,22.0909090909091,133.363636363636,0,0,0,0,0,0,145.881818181818
M.Harrison,BAL,0,0,0,0,0,0,0,0,21.0909090909091,11.2727272727273,160.909090909091,1.45454545454545,0,142.781818181818
A.Hooper,NE,0,0,0,0,0,0,0,0,20.8235294117647,15.8823529411765,168,1.05882352941176,0,141.847058823529
C.Austin,PIT,0,0,0,0,0,0,0,0,20,12.3333333333333,191,1.33333333333333,0,139.233333333333
C.Samuel,BUF,0,0,0,0,0,1.76470588235294,4.94117647058824,0,19.0588235294118,13.0588235294118,117.882352941176,1.05882352941176,0,137.329411764706
A.Mitchell,IND,0.352941176470588,0.352941176470588,8.47058823529412,0,0,1.41176470588235,2.11764705882353,0,19.4117647058824,8.11764705882353,110.117647058824,0,0,136.164705882353
D.Brown,WAS,0.315789473684211,0,0,0,0,0.947368421052632,8.21052631578947,0,18.3157894736842,13.8947368421053,169.578947368421,0.631578947368421,0,133.421052631579
C.Stroud,HOU,187.263157894737,119.052631578947,1343.36842105263,0,6.63157894736842,20.2105263157895,100.105263157895,0,0.315789473684211,0,0,0,0,133.168421052632
D.Ogunbowale,HOU,0,0,0,0,0,10.6666666666667,42,0,9.66666666666667,6.66666666666667,66,0.333333333333333,0,132.833333333333
G.Dortch,ARI,0,0,0,0,0,1.76470588235294,10.9411764705882,0,17.6470588235294,13.0588235294118,120.705882352941,1.05882352941176,0,129.741176470588
N.Gray,KC,0,0,0,0,0,0.333333333333333,-1.33333333333333,0,17.6666666666667,14.6666666666667,150.666666666667,1.66666666666667,0,123.1
G.Smith,SEA,204,143.647058823529,1524.70588235294,0,7.41176470588235,18.7058823529412,96,0.705882352941176,0,0,0,0,0,121.905882352941
S.Perine,KC,0,0,0,0,0,6.3,30,0.3,11.4,8.7,101.7,0.3,0,119.43
M.Hollins,BUF,0,0,0,0,0,0,0,0,17.4,10.8,144.6,1.8,0,119.04
C.Parkinson,LA,0,0,0,0,0,0,0,0,17.6666666666667,11.3333333333333,105.333333333333,0.666666666666667,0,116.6
D.Robinson,LA,0,0,0,0,0,0,0,0,15.6428571428571,7.5,129,1.5,0,106.907142857143
K.Murray,ARI,104.709677419355,72,745.354838709677,0,4.06451612903226,15.0967741935484,110.709677419355,0.967741935483871,0,0,0,0,0,101.748387096774
D.Hopkins,KC,0,0,0,0,0,0,0,0,15.0857142857143,10.1142857142857,109.542857142857,1.02857142857143,0,101.571428571429
J.Burrow,CIN,230.117647058824,162.352941176471,1735.76470588235,0,15.1764705882353,14.8235294117647,70.9411764705882,0.705882352941176,0,0,0,0,0,96.1058823529412
D.Knox,BUF,0,0,0,0,0,0,0,0,13.7647058823529,9.17647058823529,125.647058823529,0.352941176470588,0,95.1882352941176
F.Moreau,NO,0,0,0,0,0,0,0,0,13.5789473684211,10.1052631578947,130.421052631579,1.57894736842105,0,94.6736842105263
D.Johnson,LA,0,0,0,0,0,7.38461538461539,33,0,6.69230769230769,3.69230769230769,29.0769230769231,0,0,90.6692307692308
Ju.Watson,KC,0,0,0,0,0,0,0,0,11.2941176470588,7.76470588235294,102,0.705882352941176,0,78.035294117647
